Rules_ID	Struts Jars
IC_STJR_415	struts2-osgi-demo-bundle-2.3.29.jar
IC_STJR_416	xwork-core-2.3.30.jar
IC_STJR_417	ognl-3.0.19.jar
IC_STJR_418	struts2-core-2.3.30.jar
IC_STJR_419	commons-fileupload-1.3.2.jar
IC_STJR_420	struts2-cdi-plugin-2.3.30.jar
IC_STJR_421	struts2-codebehind-plugin-2.3.30.jar
IC_STJR_422	struts2-convention-plugin-2.3.30.jar
IC_STJR_423	struts2-javatemplates-plugin-2.3.30.jar
IC_STJR_424	struts2-config-browser-plugin-2.3.30.jar
IC_STJR_425	struts2-dojo-plugin-2.3.30.jar
IC_STJR_426	struts2-dwr-plugin-2.3.30.jar
IC_STJR_427	struts2-jasperreports-plugin-2.3.30.jar
IC_STJR_428	struts2-jfreechart-plugin-2.3.30.jar
IC_STJR_429	struts2-jsf-plugin-2.3.30.jar
IC_STJR_430	struts2-junit-plugin-2.3.30.jar
IC_STJR_431	struts2-pell-multipart-plugin-2.3.30.jar
IC_STJR_432	struts2-plexus-plugin-2.3.30.jar
IC_STJR_433	struts2-portlet-plugin-2.3.30.jar
IC_STJR_434	struts2-rest-plugin-2.3.30.jar
IC_STJR_435	struts2-sitegraph-plugin-2.3.30.jar
IC_STJR_436	struts2-sitemesh-plugin-2.3.30.jar
IC_STJR_437	struts2-spring-plugin-2.3.30.jar
IC_STJR_438	struts2-struts1-plugin-2.3.30.jar
IC_STJR_439	struts2-testng-plugin-2.3.30.jar
IC_STJR_440	struts2-tiles-plugin-2.3.30.jar
IC_STJR_441	struts2-tiles3-plugin-2.3.30.jar
IC_STJR_442	struts2-oval-plugin-2.3.30.jar
IC_STJR_443	struts2-json-plugin-2.3.30.jar
IC_STJR_444	struts2-embeddedjsp-plugin-2.3.30.jar
IC_STJR_445	struts2-gxp-plugin-2.3.30.jar
IC_STJR_446	struts2-osgi-plugin-2.3.30.jar
IC_STJR_447	struts2-osgi-admin-bundle-2.3.30.jar
IC_STJR_448	struts2-osgi-demo-bundle-2.3.30.jar
IC_STJR_449	xwork-core-2.3.31.jar
IC_STJR_450	struts2-core-2.3.31.jar
IC_STJR_451	struts2-cdi-plugin-2.3.31.jar
IC_STJR_452	struts2-codebehind-plugin-2.3.31.jar
IC_STJR_453	struts2-convention-plugin-2.3.31.jar
IC_STJR_454	struts2-javatemplates-plugin-2.3.31.jar
IC_STJR_455	struts2-config-browser-plugin-2.3.31.jar
IC_STJR_456	struts2-dojo-plugin-2.3.31.jar
IC_STJR_457	struts2-dwr-plugin-2.3.31.jar
IC_STJR_458	struts2-jasperreports-plugin-2.3.31.jar
IC_STJR_459	struts2-jfreechart-plugin-2.3.31.jar
IC_STJR_460	struts2-jsf-plugin-2.3.31.jar
IC_STJR_461	struts2-junit-plugin-2.3.31.jar
IC_STJR_462	struts2-pell-multipart-plugin-2.3.31.jar
IC_STJR_463	struts2-plexus-plugin-2.3.31.jar
IC_STJR_464	struts2-portlet-plugin-2.3.31.jar
IC_STJR_465	struts2-rest-plugin-2.3.31.jar
IC_STJR_466	struts2-sitegraph-plugin-2.3.31.jar
IC_STJR_467	struts2-sitemesh-plugin-2.3.31.jar
IC_STJR_468	struts2-spring-plugin-2.3.31.jar
IC_STJR_469	struts2-struts1-plugin-2.3.31.jar
IC_STJR_470	struts2-testng-plugin-2.3.31.jar
IC_STJR_471	struts2-tiles-plugin-2.3.31.jar
IC_STJR_472	struts2-tiles3-plugin-2.3.31.jar
IC_STJR_473	struts2-oval-plugin-2.3.31.jar
IC_STJR_474	struts2-json-plugin-2.3.31.jar
IC_STJR_475	struts2-embeddedjsp-plugin-2.3.31.jar
IC_STJR_476	struts2-gxp-plugin-2.3.31.jar
IC_STJR_477	struts2-osgi-plugin-2.3.31.jar
IC_STJR_478	struts2-osgi-admin-bundle-2.3.31.jar
IC_STJR_479	struts2-osgi-demo-bundle-2.3.31.jar
IC_STJR_480	xwork-core-2.3.32.jar
IC_STJR_481	struts2-core-2.3.32.jar
